,0
0,55492.824
1,54982.812
2,55981.652
3,56131.727
4,56356.55
5,56481.734
6,56797.3
7,56985.805
8,57115.312
9,57251.76
10,57547.05
11,57756.28
12,57686.32
13,57490.355
14,57322.33
15,57253.008
16,57320.977
17,57283.777
18,57418.566
19,57470.395
20,57401.94
21,57227.38
22,57265.812
23,57164.117
24,56994.223
25,56667.797
26,56605.293
27,56452.695
28,56314.785
29,56082.24
30,55981.0
31,55735.266
32,55411.312
33,55107.266
34,55082.32
35,55131.242
36,55087.5
37,54975.754
38,54909.42
39,54759.23
40,54860.402
41,54654.438
42,54602.848
43,54720.566
44,55416.83
45,55913.2
46,56333.16
47,56382.21
48,56202.887
49,55902.8
50,55720.797
51,55331.336
52,55077.707
53,54981.258
54,55257.184
55,55610.766
56,56004.465
57,56206.855
58,56533.17
59,56622.57
60,56670.49
61,56632.7
62,56664.344
63,56507.793
64,56179.613
65,55550.332
66,55104.41
67,55031.066
68,55442.46
69,55696.973
70,56208.727
71,56482.324
72,56738.348
73,56845.18
74,57022.066
75,57101.113
76,57036.54
77,56856.78
78,57035.953
79,56978.32
80,57039.344
81,57031.957
82,57275.125
83,57230.617
84,57274.934
85,57166.09
86,57200.29
87,57092.18
88,56984.41
89,56736.348
90,56663.367
91,56500.816
92,56258.375
93,55777.66
94,55478.035
95,54705.15
96,54307.69
97,54143.723
98,54202.324
99,53861.816
100,53985.508
101,54079.805
102,54428.89
103,54758.35
104,55134.86
105,55259.2
106,55339.91
107,55350.223
108,55176.38
109,55291.64
110,55723.156
111,56323.67
112,56577.363
113,56487.707
114,56427.8
115,56240.49
116,55918.703
117,55572.12
118,55462.53
119,55688.418
120,55849.516
121,55790.04
122,55867.98
123,55785.1
124,55732.785
125,55856.395
126,56242.867
127,56573.555
128,56863.016
129,56997.645
130,57267.72
131,57403.16
132,57471.156
133,57350.984
134,57303.723
135,57119.125
136,56906.984
137,56643.39
138,56573.742
139,56515.625
140,56443.89
141,56322.82
142,56328.574
143,56309.93
144,56322.902
145,56263.8
146,56254.18
147,56082.605
148,55760.594
149,55490.14
150,55338.2
151,54983.355
152,54510.402
153,54212.19
154,54756.91
155,55178.043
156,55350.863
157,55396.33
158,55542.113
159,55717.355
160,55864.594
161,55829.496
162,55980.74
163,55944.184
164,55984.76
165,56054.613
166,56503.457
167,56765.098
168,56865.086
169,56719.76
170,56801.055
171,56669.38
172,56332.727
173,55955.555
174,56050.387
175,56003.855
176,56013.39
177,55894.03
178,55983.453
179,55914.38
180,55820.56
181,55661.61
182,55422.996
183,55437.55
184,55708.137
185,55833.445
186,56157.297
187,56285.918
188,56241.145
189,56014.906
190,56127.64
191,56307.324
192,56410.527
193,56341.734
194,56368.117
195,56263.95
196,55990.13
197,55525.977
198,55627.164
199,55469.03
200,55271.63
201,55322.883
202,55535.543
203,55441.336
204,55362.867
205,55255.594
206,55280.82
207,54858.695
208,53976.477
209,52768.957
210,53289.137
211,54020.367
212,54427.625
213,54820.125
214,55100.81
215,55303.184
216,55389.062
217,54708.5
218,54304.957
219,54743.652
220,55689.895
221,56057.543
222,56536.695
223,56746.91
224,56905.137
225,57019.617
226,57356.77
227,57534.11
228,57722.215
229,57708.28
230,57886.375
231,57837.508
232,57771.82
233,57499.75
234,57379.773
235,56955.414
236,56627.094
237,56254.3
238,56295.746
239,56776.836
240,57013.81
241,57014.01
242,56935.035
243,56641.168
244,56233.9
245,55685.32
246,55259.754
247,54757.75
248,54793.99
249,55257.902
250,55789.71
251,56118.86
252,56288.613
253,56291.535
254,56308.664
255,56295.086
256,56418.277
257,56508.676
258,56734.77
259,56832.23
260,56850.02
261,56700.32
262,56493.402
263,56270.902
264,56045.43
265,55712.098
266,55643.848
267,55349.6
268,54960.496
269,54474.9
270,54306.8
271,54435.727
272,55316.23
273,55797.234
274,56146.508
275,56329.133
276,56240.32
277,56139.56
278,56242.93
279,56271.832
280,56291.902
281,56294.65
282,56462.566
283,56551.33
284,56581.016
285,56363.203
286,56099.652
287,55517.1
288,55052.035
289,54399.016
290,54499.07
291,54503.41
292,54832.58
293,55218.82
294,55519.086
295,55765.68
296,55884.03
297,55901.395
298,55786.074
299,55489.188
300,55186.098
301,54864.625
302,54846.094
303,54954.26
304,55173.887
305,55286.883
306,55575.273
307,55860.05
308,56038.86
309,56094.04
310,56177.53
311,56140.54
312,55931.88
313,55739.348
314,55764.0
315,55923.32
316,56102.137
317,56164.75
318,56278.31
319,56325.17
320,56265.15
321,56143.883
322,56358.67
323,56680.254
324,56969.918
325,57160.547
326,57432.594
327,57538.477
328,57500.04
329,57311.07
330,57115.332
331,56890.33
332,56686.94
333,56547.68
334,57002.477
335,57217.57
336,57129.586
337,57259.47
338,57440.164
339,57444.746
340,57488.332
341,57421.51
342,57476.574
343,57211.832
344,56804.703
345,56355.156
346,56081.516
347,55566.617
348,54935.16
349,53818.188
350,52735.957
351,52763.633
352,52766.184
353,52427.508
354,52575.16
355,52954.117
356,53259.816
357,53336.105
358,53360.324
359,53316.26
360,53214.44
361,53013.637
362,53060.184
363,52988.137
364,53029.53
365,52859.727
366,52864.375
367,52852.285
368,52987.465
369,53183.086
370,53496.266
371,53601.457
372,53581.2
373,53326.133
374,53216.438
375,53229.88
376,53418.188
377,53858.344
378,54842.363
379,55652.656
380,56092.176
381,56191.082
382,56025.562
383,55654.29
384,55228.703
385,54960.55
386,54790.14
387,54690.383
388,54672.902
389,54543.64
390,54543.29
391,54393.074
392,54111.574
393,53959.805
394,53847.38
395,53808.03
396,53599.758
397,53126.5
398,52738.33
399,52960.58
400,53070.336
401,53599.086
402,54005.758
403,54105.01
404,53977.08
405,53725.016
406,53600.332
407,53324.79
408,52675.5
409,52346.457
410,52518.586
411,52428.363
412,52398.65
413,52362.934
414,52459.902
415,52951.9
416,53222.234
417,53289.504
418,53423.7
419,53436.055
420,53357.383
421,53718.043
422,54912.87
423,55497.99
424,55717.332
425,55925.367
426,56101.1
427,56103.707
428,55981.336
429,55837.207
430,55883.418
431,55875.516
432,56041.63
433,56177.195
434,56439.29
435,56540.406
436,56634.95
437,56611.746
438,56624.35
439,56514.355
440,56500.773
441,56337.188
442,56386.45
443,56216.73
444,56061.008
445,55601.027
446,55035.855
447,54381.434
448,53486.18
449,53029.07
450,52653.043
451,52328.918
452,52215.746
453,51897.816
454,52602.477
455,53382.996
456,53689.305
457,53788.492
458,53875.57
459,53786.6
460,53690.625
461,53664.12
462,53724.176
463,53704.344
464,53599.32
465,53490.39
466,53507.953
467,53435.57
468,53349.605
469,53198.03
470,53214.855
471,53197.36
472,53192.78
473,53149.254
474,53289.254
475,53377.445
476,53695.72
477,53882.47
478,53931.742
479,53625.586
480,54170.133
481,54563.45
482,54513.85
